1
M2 I1
I2 N5
I12 H6
C4 H11
I12 N3
H10 H12
E8 L9
F8 F12
I1 H5
H12 C9
I12 D5
N5 E9
E8 F1
H11 L2
D5 G6
F6 A7
I12 F10
E3 A3
B2 A7
F2 C5
I12 M6
E3 L3
E8 M6
E3 A11
A7 H11
C5 B5
H11 H9
F6 H3
E8 I6
E9 A1
H9 A10
L2 M2
I12 A1
E3 A12
E8 G2
F8 G7
I12 F2
F8 H9
D5 L4
B5 C11
A10 I3
E3 A1
I12 N6
C11 E5
I3 M9
E3 F8
M9 I10
M2 D2
I12 E2
D2 B11
H5 L8
C9 D9
E8 N1
E5 M5
E8 G7
E3 M11
I12 L1
B11 F5
D5 M2
F6 A9
E8 G8
F8 I5
D5 C12
F8 M12
I12 L11
F8 H10
L8 C10
D9 M11
I10 A6
E3 L1
I12 D10
F5 B2
I12 F9
F6 N10
I12 I7
B2 H4
A6 N1
M5 L8
C10 I3
M11 C5
I3 F9
F6 M1
F9 L7
F8 E12
E8 N2
H4 E11
E8 D10
F8 B3
N1 I9
E11 I9
I12 F5
E3 B11
I12 A1
F8 E7
I9 G11
E3 E7
G11 I3
I9 H11
E8 A1
L8 I9
E8 B1
F6 I10
L7 H11
I9 B11
I3 H9
F6 M11
E8 H6
H11 I5
I12 D11
F8 A6
H9 H1
E3 A10
I12 F12
E3 B4
I12 I9
E3 C5
H1 L2
I5 E10
L2 C11
B11 G5
E8 H8
E10 D9
D5 D8
F8 F6
H11 G3
E3 L2
E8 B4
D9 D4
D5 A12
G5 G5
C11 N9
F6 E2
G3 B7
E3 M10
B7 F3
E3 F11
F3 H2
D4 G1
H2 H9
F6 E12
I12 F10
F8 A7
H9 M3
G5 B9
I12 G7
C5 I2
D5 A8
F6 I1
M3 B12
I2 H5
D5 N8
B9 B1
E8 B6
G1 C11
I12 B9
C11 G12
I12 N9
B1 H7
D5 H2
H5 E2
E8 C6
H7 F9
I12 N1
F8 I2
N9 G6
F8 H3
B12 H1
F9 D7
E8 A10
E2 C4
G6 A12
G12 E5
A12 B5
F6 I11
H1 G4
F6 G5
E8 I8
D7 H9
B5 N9
H9 G11
E8 B11
C4 L3
D5 N12
E3 N9
D5 M1
G11 M12
D5 A12
F8 F8
I12 N6
E5 F2
I12 D1
F6 A5
G4 M5
F2 D9
D5 L10
F6 I8
E8 L11
F6 H5
E8 H6
F8 F1
D5 A6
M12 M12
I12 N12
M12 D10
D5 H7
D10 E11
M5 I11
E3 F6
I12 F9
L3 F2
E8 D3
E11 G4
I12 B2
F8 L2
I12 E2
F8 A10
I12 E12
D9 F9
I12 H6
E3 L7
D5 D6
F8 H1
D5 F11
F8 I5
I12 N5
F8 D4
I11 I9
E3 N1
I12 N3
E3 M9
E8 L11
F6 A2
E8 C9
E3 D9
D5 H9
E3 M8
I12 L10
F9 L7
I12 D10
F8 G4
I9 E1
E3 H10
E1 I11
G4 I3
I11 M5
F8 N10
D5 M6
L7 D4
D5 I9
F6 L1
E8 C4
E3 A3
E8 B7
D4 G1
I12 B4
F2 C7
D5 H11
F6 C9
E8 B11
F6 L5
I12 G11
C7 M5
D5 B9
F6 B7
M5 D1
I3 G9
D5 D8
M5 G5
I12 N10
F8 F6
D1 L11
E3 I8
