L7 C2
C6 F6
H10 M3
D5 D4
I2 H2
I9 G10
C2 N10
F6 L9
F6 I4
L9 M10
H10 D8
D5 D2
N10 L7
D5 A12
H10 E3
F8 C1
H2 D6
C1 E1
B4 C4
F10 E11
L7 D3
E11 H11
D6 A7
I9 I1
H10 I4
H11 E10
F6 F8
M10 A2
F6 D2
E9 F8
H10 D7
I9 E8
H10 A8
A2 A7
H10 A3
H1 M11
A7 C11
A7 F9
F6 D9
D5 N8
H10 B3
M11 B4
D3 B9
E1 G3
B9 L5
I9 A3
C11 M8
D5 I12
L5 C11
F9 I6
C11 D4
G3 F3
H10 C3
I2 G7
B4 F1
I2 C10
B4 G3
F3 G7
H10 E11
F8 M5
M8 A5
E10 G4
B4 N9
G7 D1
H10 C3
B4 E10
H10 H7
M5 H5
B4 N6
I9 F11
D4 E10
D1 B12
B4 M2
I9 A2
F6 L4
H5 C9
F6 M1
I9 M6
F6 N1
D5 B7
A5 E2
I6 L3
F6 D1
B12 M6
F6 B4
D5 A6
E10 E7
E10 I1
E7 L3
I1 M5
H10 A2
D5 B6
H10 N3
G4 H4
L3 A10
M6 D12
A10 A2
M5 C2
B4 L12
D5 M10
A2 N9
D5 I4
E2 M7
D12 B12
B4 M9
I2 A10
F6 C6
I2 G8
F6 N12
H4 E9
H10 A10
C2 H1
F6 L3
B12 F10
F6 N2
H1 F5
F6 E7
F10 M9
M7 E11
I2 A6
E11 N5
F5 H4
F6 L2
H4 B4
B4 C2
E9 B10
H10 E11
D5 I10
N9 G2
B4 H6
N5 E10
M9 H1
G2 C10
B10 N7
C10 A9
I9 C7
H10 N6
N7 B4
H10 C12
B4 A2
B4 A7
I2 B6
A9 F2
I2 E7
E10 E7
H6 C8
H10 E12
A2 M11
F2 N5
H1 E11
N5 L7
C9 H6
B4 H3
D5 N6
E7 G3
I2 E8
L7 D6
C8 L4
D6 D10
D5 N9
F6 N8
M11 A11
G3 A9
H6 B1
A9 C6
L4 H12
B4 D6
E11 L6
F6 G2
B1 I5
B4 I4
I2 F5
B4 C1
L6 B3
C6 I7
I9 F4
I7 A4
B3 F4
F6 N3
H12 L12
H10 H12
A11 G7
A4 G3
L12 I4
H10 N10
I2 B2
F6 B8
I4 I12
H10 B11
I12 D9
G3 N8
I2 M1
D10 A11
I9 G4
A11 L3
I9 M12
B4 H7
D9 M9
H10 G10
G7 M12
B4 I5
M9 F8
L3 I3
I5 I5
H10 G1
D5 E6
H10 L5
D5 F7
F6 C5
I9 C3
F6 G5
D5 L2
F6 F2
M12 L1
N8 A7
L1 F2
H10 C12
F2 E6
H10 I6
D5 G9
I3 C8
D5 C8
H10 F7
E6 E7
H10 E10
I2 G11
A7 A7
F8 M7
A7 N5
I2 G9
F6 D10
I2 A1
B4 E6
M7 F1
C8 D3
I2 C1
F6 M3
I2 I7
B4 B2
D5 H12
F6 M7
I9 G9
F6 D8
I5 F12
B4 I11
F12 L5
N5 G5
L5 G10
F6 H1
D5 A2
F6 A5
F1 G3
D3 G2
G3 E9
G2 E10
D5 M4
G5 L4
E9 F6
F6 D8
I2 G5
E10 G8
I9 N3
L4 D5
G10 I3
G8 C3
F6 B1
B4 G4
E7 E10
H10 N2
I2 M3
D5 C8
D5 E11
B4 G3
D5 L7
C8 L3
I9 H7
B4 D5
B1 D8
F6 N4
I3 L1
F6 A11
E10 C6
L3 H3
F4 M7
H3 M2
L1 C10
C3 C5
I9 C6
B4 L5
C10 E2
M2 A7
M7 G7
A7 E9
D8 L1
B4 M10
C6 H9
B4 C7
I9 E2
H10 D4
H9 L7
H10 A2
L1 L1
E9 D11
L1 F12
H10 M10
E2 B4
D11 B9
L7 D9
B4 L5
D9 L12
H10 F8
I2 A9
C5 A10
I9 C1
B9 A2
F12 B5
A2 C7
G7 D10
F6 F10
D10 D11
B4 E2
D5 B1
H10 F5
I2 B11
C7 N2
D11 M7
A10 C4
I2 N3
C4 A2
L12 B8
F6 G8
B5 F5
N2 H8
D5 D11
H10 D3
D5 A12
H8 M9
B8 C9
M9 A8
C9 D1
F6 D2
D1 D10
F6 B10
D10 H5
A8 D9
D5 H9
H10 N4
F5 D12
A2 N7
H5 G7
D9 D4
M7 D10
D4 G7
D10 L5
F6 E3
L5 D9
G7 D6
D9 I6
H10 F2
D12 E8
H10 F10
I2 L12
F6 B4
G7 A3
B4 E2
B4 E2
F6 F8
I2 B9
B4 F5
I6 F11
H10 I10
I2 L8
H10 H7
D5 I8
D6 F2
E2 B4
B4 H11
F11 E2
F6 D4
E8 B5
F2 M3
I2 C12
M3 H2
B4 M4
B4 H12
I2 D3
H2 F2
D5 B10
F6 D8
B5 D11
N7 E9
D5 G3
E9 C4
D5 A7
C4 A10
I9 E3
F6 E6
D11 B12
H10 A9
I9 N2
F6 C7
D5 D2
B4 N2
E2 G10
B4 E12
I9 L10
F6 A5
A3 A8
F6 H1
B12 B3
H10 N11
A8 F5
F6 B10
I2 I11
F6 G7
M4 M3
H10 B10
B3 F9
A10 G8
I2 A8
F2 D10
F9 E11
F6 C5
I2 B8
G8 N10
I9 D2
B4 N7
M3 H3
N10 N11
H3 F6
B4 I9
I2 M6
N11 A8
F5 N4
A8 C5
I9 H9
C5 N11
E11 G1
N11 M2
N4 A8
D10 L6
I2 C7
F6 M1
A8 B12
B4 M9
B12 C6
M2 N8
F6 M3
L6 E3
I2 F10
N8 A6
I9 B8
E3 L4
D5 L11
A6 D5
D5 D7
F6 I1
I2 C2
B4 F12
I9 M6
H10 M3
G10 F4
D5 D9
I2 N2
H10 H11
D5 B4
L4 E6
C6 N1
B4 G3
N1 H3
D9 M5
I2 M7
H10 G12
F4 D2
E6 I8
I9 E12
H10 N10
M3 F4
M5 M7
I2 L11
H10 I3
I9 A5
B4 G12
G1 F10
M7 N5
F4 I1
F6 I2
I2 F12
H10 G5
D2 E1
F6 G8
E1 M12
F6 M6
H3 F1
H10 E8
I1 H12
H10 F10
I9 H7
I8 G2
M12 C8
F6 N11
I2 L5
B4 D10
H12 E12
B4 G11
F10 I6
B4 C2
I6 E11
B4 C5
E12 D2
F6 B1
F1 N11
N5 I7
E11 M5
G2 G4
D2 H1
I7 M7
C8 G10
M7 H3
M5 G9
G4 A7
D5 D12
F6 H12
G10 H6
F6 B1
H6 F7
F6 H10
D5 G12
F6 F11
D5 C3
B4 H9
I9 H10
H3 C10
G9 H5
F6 G5
I2 F2
B4 E8
I2 B11
B4 M5
N11 N7
F6 F8
I9 E8
A7 G6
D5 N5
H10 C6
H1 D8
C10 N3
D8 E11
F6 L11
I2 I8
G6 G2
D5 H12
G2 M8
D5 L4
B4 C3
I2 G12
F6 F9
D5 G8
N3 M2
F7 H4
B4 L4
I9 M12
B4 B8
D5 M7
M2 N8
H4 L5
M8 D4
I9 L12
D4 A6
N7 G11
H10 F7
I2 H3
H10 G7
L5 L1
N8 H7
I2 I3
B4 A9
L1 G8
H10 A12
I9 C2
B4 I3
G8 E2
A6 E9
I9 M6
H7 D6
I2 C11
F6 F2
I2 C2
D6 G4
E2 C1
E9 C9
E11 C8
F6 A10
I9 M2
F6 M2
D5 M12
G4 D11
I2 H6
D11 G3
D5 M1
F6 F1
I9 N6
F6 L2
C1 G9
C9 E10
D5 C6
B4 L11
C8 I4
B4 F8
D5 C11
F6 C3
I9 N9
B4 L5
I9 B5
E10 E2
I9 B9
F6 F12
I9 G4
G3 B11
D5 D12
E2 H4
D5 I1
B4 H3
G11 G7
B11 A8
I2 B5
B4 E5
G7 B8
H10 H4
D5 F6
F6 E8
G9 C9
